id,place_name,category,description,location,facts,rules,spooky,distance_from_pune_km,best_time_to_visit,map_link
1,Pataleshwar Cave Temple,Temple,"An 8th-century rock-cut temple dedicated to Lord Shiva, carved from a single basalt rock. A serene escape in the heart of Pune.","Jangali Maharaj Road, Shivajinagar, Pune",The temple is a protected monument with intricate carvings depicting Shiva mythology. Locals believe it’s a spiritual hotspot with calming energy.,"Photography is allowed, but maintain silence to respect worshippers. Visit early to avoid crowds.",FALSE,2,Morning,https://maps.app.goo.gl/1k4HAQ9gXhf1gFoQA
2,Shaniwar Wada,Heritage Site,"A historical fort built in 1732, once the seat of the Peshwas. Known for its grand architecture and eerie legends.","Shaniwar Peth, Pune",The fort was partially destroyed by a mysterious fire in 1828. Locals claim to hear the screams of Narayanrao Peshwa on full moon nights.,Entry is restricted after 6:30 PM due to paranormal rumors. Avoid visiting alone at night.,TRUE,1,Evening,https://www.google.com/maps/search/?api=1&query=Shaniwar%20Wada
3,Pashan Lake,Lake,"A serene artificial lake attracting migratory birds, perfect for nature lovers and photographers.","Pashan, Pune","The lake is a birdwatching hotspot, especially in winter. A peaceful urban escape.",Avoid littering to preserve the ecosystem. Early morning visits are best.,FALSE,10,Early Morning,https://maps.app.goo.gl/tzJaq8CSo9aoqBTH9
4,Holkar Bridge,Scary Road,A colonial-era bridge with a history of accidents and mysterious deaths.,"Khadki, Pune",Locals believe the bridge is haunted by spirits of accident victims. Strange apparitions at night.,Avoid driving across late at night. Chant prayers for safety.,TRUE,5,Morning,"https://www.google.com/maps/place/Holkar+Bridge/@18.554859,73.8554396"
5,Bedse Caves,Heritage Site,"Ancient Buddhist rock-cut caves from the 2nd century BC, showcasing remarkable architecture.","Near Lonavala, Pune","The 22 caves include stupas and carvings, less crowded than Karla Caves.",Wear comfortable shoes for the trek. Avoid heavy rains.,FALSE,71,Morning,https://maps.app.goo.gl/UVeccTdUCuvGF4sK7
6,Karla Caves,Hidden Trek Spot,1st-century BC Buddhist caves with a grand chaitya hall and intricate carvings.,"Near Lonavala, Pune",A UNESCO tentative site with a massive stupa and sculptures.,Entry fees apply. Avoid touching carvings. Visit early.,FALSE,59,Morning,https://maps.app.goo.gl/UVeccTdUCuvGF4sK7
7,Korigad Fort,Fort Trek,A hill fort with thrilling monsoon treks and panoramic valley views.,"Near Aamby Valley, Pune","A 15th-century Maratha fort, ideal for adventure seekers.",Carry water and snacks. Avoid heavy rains.,FALSE,90,Monsoon Mornings,https://www.google.com/maps/search/?api=1&query=Korigad%20Fort
8,Osho Ashram Gardens,Garden,"Landscaped gardens for meditation, part of the Osho International Meditation Resort.","Koregaon Park, Pune",Known for serene ambiance and spiritual retreats.,Requires registration. Follow silence rules.,FALSE,5,Anytime,https://www.google.com/maps/search/?api=1&query=Osho%20Garden%20Pune
9,Katraj Tunnel,Scary Road,A tunnel on the Pune-Satara Highway rumored to be haunted by accident victims.,"Katraj, Pune",Locals report whispers and shadowy figures at night.,Avoid stopping inside at night. Drive cautiously.,TRUE,10,Afternoon,https://maps.app.goo.gl/CXcVo93b9imYgxuV6
10,Taljai Hills,Hill,"A lush hilltop with hiking trails and city views, ideal for solitude.","Sahakar Nagar, Pune","Home to diverse flora and fauna, less crowded than other hills.",Stick to marked trails. Avoid evenings due to wildlife.,FALSE,8,Early Morning,https://www.google.com/maps/search/?api=1&query=Taljai%20Hills
11,Pune-Okayama Friendship Garden,Garden,A Japanese-style garden with koi ponds and cherry blossoms.,"Sinhagad Road, Pune","Inspired by Koraku-en Garden, symbolizing Indo-Japanese friendship.",Maintain silence. Avoid disturbing koi fish.,FALSE,10,Anytime,https://maps.app.goo.gl/RPvq25pGpitkGbf67
12,Victory Theatre,Scary ,An abandoned cinema hall with rumors of paranormal activity post-closure.,"Camp, Pune","Closed in the 1990s, locals hear projector sounds and see shadows.",Restricted entry due to condition. Avoid trespassing.,TRUE,3,Morning,https://www.google.com/maps/search/?api=1&query=Victory%20Theatre%20Pune
13,Mulshi Dam Road,Dam,An isolated road near Mulshi Dam with eerie vibes and accident history.,"Mulshi, Pune",A woman in white is said to cause drivers to swerve at night.,Drive cautiously and avoid stopping.,TRUE,53,Afternoon,https://www.google.com/maps/search/?api=1&query=Mulshi%20Dam%20Road
14,Vetal Tekdi,Hill,A hill for trekking and jogging with panoramic Pune views.,"Kothrud, Pune",A biodiversity hotspot with rare plants and birds.,Stay on trails. Avoid after dark due to no lighting.,FALSE,7,Early Morning,https://www.google.com/maps/search/?api=1&query=Vetal%20Tekdi
15,Khadakwasla Dam,Dam,"A scenic dam on the Mutha River, ideal for picnics and sunsets.","Khadakwasla, Pune","Built in 1879, a vital water source with migratory birds.",Avoid swimming due to currents. Evening visits best.,FALSE,20,Sunset,https://www.google.com/maps/search/?api=1&query=Khadakwasla%20Dam
16,Tamhini Ghat,Scary Road,"A mountain pass with waterfalls and lush forests, great for monsoon drives.","Mulshi, Pune","Part of the Sahyadri range, a photography hotspot.",Drive carefully in monsoons. Carry food and water.,FALSE,61,Monsoon,https://maps.app.goo.gl/JMKrjyAppNTJabXYA
17,Sinhagad Fort,Fort Trek,A historic hill fort with Maratha history and trekking trails.,"Haveli, Pune",Site of the 1670 Battle of Sinhagad. Locals hear battle cries.,Wear sturdy shoes. Avoid rainy treks.,TRUE,25,Morning,https://www.google.com/maps/search/?api=1&query=Sinhagad%20Fort
18,Bund Garden,Garden,A historic park by the Mula-Mutha River with lush greenery.,"Bund Garden Road, Pune","Built during British rule, hosts cultural events.",Avoid littering. Morning or evening visits ideal.,FALSE,4,Evening,https://www.google.com/maps/search/?api=1&query=Bund%20Garden%20Pune
19,Lohagad Fort,Fort Trek,A historic fort with easy treks and monsoon views.,"Near Lonavala, Pune",A key Maratha stronghold with Sahyadri views.,Carry water and snacks. Avoid heavy rains.,FALSE,65,Monsoon Mornings,https://www.google.com/maps/search/?api=1&query=Lohagad%20Fort
